Input,Entry
MUC5B_HUMAN,Q9HC84
NOL11_HUMAN,Q9H8H0
COPG2_HUMAN,Q9UBF2
GNAS2_HUMAN,P63092
SSRD_HUMAN,P51571
UBE2A_HUMAN,P49459
ABHD2_HUMAN,P08910
ALDOA_HUMAN,P04075
ANM1_HUMAN,Q99873
APOL1_HUMAN,O14791
ARRD1_HUMAN,Q8N5I2
AXA2L_HUMAN,A6NMY6
BCLF1_HUMAN,Q9NYF8
COF1_HUMAN,P23528
EF2_HUMAN,P13639
EIF3E_HUMAN,P60228
FLNA_HUMAN,P21333
GILT_HUMAN,P13284
GMPR2_HUMAN,Q9P2T1
KI67_HUMAN,P46013
LAS1L_HUMAN,Q9Y4W2
MTL2B_HUMAN,Q6P1Q9
MYBB_HUMAN,P10244
NAA10_HUMAN,P41227
NUCL_HUMAN,P19338
OAS3_HUMAN,Q9Y6K5
PAG16_HUMAN,P53816
PSMD6_HUMAN,Q15008
RB11A_HUMAN,P62491
RBBP4_HUMAN,Q09028
RFA1_HUMAN,P27694
RL10A_HUMAN,P62906
S39A6_HUMAN,Q13433
STAT3_HUMAN,P40763
2AAA_HUMAN,P30153
ADCY2_HUMAN,Q08462
ANO6_HUMAN,Q4KMQ2
AP2A_HUMAN,P05549
APOL2_HUMAN,Q9BQE5
AREG_HUMAN,P15514
ARP2_HUMAN,P61160
BMPR2_HUMAN,Q13873
CASL_HUMAN,Q14511
CCND1_HUMAN,P24385
CCS_HUMAN,O14618
CD151_HUMAN,P48509
CELF1_HUMAN,Q92879
CELR2_HUMAN,Q9HCU4
CENPO_HUMAN,Q9BU64
CHD9_HUMAN,Q3L8U1
CHERP_HUMAN,Q8IWX8
CIRBP_HUMAN,Q14011
CIZ1_HUMAN,Q9ULV3
COIL_HUMAN,P38432
COPD_HUMAN,P48444
COPE_HUMAN,O14579
CP013_HUMAN,Q96S19
CP51A_HUMAN,Q16850
CPNE6_HUMAN,O95741
CPNS1_HUMAN,P04632
CSN7A_HUMAN,Q9UBW8
CTNB1_HUMAN,P35222
DCOR_HUMAN,P11926
DDX27_HUMAN,Q96GQ7
DDX50_HUMAN,Q9BQ39
DESP_HUMAN,P15924
DGKI_HUMAN,O75912
DPP9_HUMAN,Q86TI2
DSC1_HUMAN,Q08554
DSG1_HUMAN,Q02413
DYHC1_HUMAN,Q14204
EMD_HUMAN,P50402
ERG1_HUMAN,Q14534
EXOS1_HUMAN,Q9Y3B2
EXOS6_HUMAN,Q5RKV6
FAIM1_HUMAN,Q9NVQ4
FXR1_HUMAN,P51114
FZR_HUMAN,Q9UM11
GBB2_HUMAN,P62879
GEPH_HUMAN,Q9NQX3
GNAI2_HUMAN,P04899
GPX2_HUMAN,P18283
GREB1_HUMAN,Q4ZG55
H33_HUMAN,P84243
HNRCL_HUMAN,O60812
HPBP1_HUMAN,Q9NZL4
HSPB8_HUMAN,Q9UJY1
IF4A1_HUMAN,P60842
IFIT3_HUMAN,O14879
IMA5_HUMAN,P52294
KDM4A_HUMAN,O75164
KDM5B_HUMAN,Q9UGL1
KLC1_HUMAN,Q07866
MACF4_HUMAN,Q9UPN3
MAGD2_HUMAN,Q9UNF1
MARK3_HUMAN,P27448
MELPH_HUMAN,Q9BV36
MLH1_HUMAN,P40692
MLL3_HUMAN,Q8NEZ4
MON2_HUMAN,Q7Z3U7
MYO1B_HUMAN,O43795
NDC80_HUMAN,O14777
NDK3_HUMAN,Q13232
NDUBA_HUMAN,O96000
NEP1_HUMAN,Q92979
NIBL1_HUMAN,Q96TA1
NP1L1_HUMAN,P55209
NRDC_HUMAN,O43847
OCTC_HUMAN,Q9UKG9
OR7A5_HUMAN,Q15622
OSB10_HUMAN,Q9BXB5
OST48_HUMAN,P39656
OTUD5_HUMAN,Q96G74
P85A_HUMAN,P27986
PAK3_HUMAN,O75914
PALLD_HUMAN,Q8WX93
PCBP2_HUMAN,Q15366
PCM1_HUMAN,Q15154
PDCD6_HUMAN,O75340
PDIA4_HUMAN,P13667
PDS5A_HUMAN,Q29RF7
PIPSL_HUMAN,A2A3N6
PLAK_HUMAN,P14923
PLK2_HUMAN,Q9NYY3
PPR3A_HUMAN,Q16821
PR285_HUMAN,Q9BYK8
PRC2B_HUMAN,Q5JSZ5
PSB4_HUMAN,P28070
PSD12_HUMAN,O00232
PTPRU_HUMAN,Q92729
PYGL_HUMAN,P06737
RAN_HUMAN,P62826
RCC1_HUMAN,P18754
RCOR1_HUMAN,Q9UKL0
RIR2_HUMAN,P31350
RL26_HUMAN,P61254
RL8_HUMAN,P62917
RM49_HUMAN,Q13405
RN114_HUMAN,Q9Y508
RPB1_HUMAN,P24928
RRP44_HUMAN,Q9Y2L1
RS23_HUMAN,P62266
RS3A_HUMAN,P61247
RU1C_HUMAN,P09234
S38A2_HUMAN,Q96QD8
S61A1_HUMAN,P61619
SAMD9_HUMAN,Q5K651
