"external_gene_name","ensembl_peptide_id"
"MT-ND1","ENSP00000354687"
"MT-ND2","ENSP00000355046"
"MT-CO1","ENSP00000354499"
"MT-CO2","ENSP00000354876"
"MT-ATP8","ENSP00000355265"
"MT-ATP6","ENSP00000354632"
"MT-CO3","ENSP00000354982"
"MT-ND3","ENSP00000355206"
"MT-ND4L","ENSP00000354728"
"MT-ND4","ENSP00000354961"
"MT-ND5","ENSP00000354813"
"MT-ND6","ENSP00000354665"
"MT-CYB","ENSP00000354554"
"SERTAD4","ENSP00000486369"
"PADI1","ENSP00000485803"
"RCC2","ENSP00000486099"
"VSTM1","ENSP00000482555"
"AC068594.3","ENSP00000487985"
"AC011043.1","ENSP00000484596"
"NLRP2","ENSP00000479352"
"NLRP7","ENSP00000484808"
"TFPT","ENSP00000482785"
"AC171558.1","ENSP00000480318"
"TARM1","ENSP00000480377"
"TSEN34","ENSP00000484865"
"AC026740.3","ENSP00000445280"
"CNOT3","ENSP00000480876"
"RPS6KA1","ENSP00000485797"
"MBOAT7","ENSP00000481455"
"AL391987.2","ENSP00000498941"
"RPS9","ENSP00000478449"
"CR847794.2","ENSP00000447114"
"AC007325.4","ENSP00000482514"
"AC141272.1","ENSP00000478725"
"AC136616.3","ENSP00000479119"
"BX004987.1","ENSP00000484918"
"CHRFAM7A","ENSP00000478921"
"AC213203.4","ENSP00000478882"
"PADI4","ENSP00000487021"
"AC011476.9","ENSP00000481747"
"OSCAR","ENSP00000478224"
"AC011476.4","ENSP00000484071"
"ZKSCAN7","ENSP00000485948"
"AC012314.14","ENSP00000482261"
"TJP1","ENSP00000484535"
"AC007325.1","ENSP00000481613"
"AC011043.3","ENSP00000482855"
"CR933783.1","ENSP00000483939"
"ZNF852","ENSP00000497961"
"RDH13","ENSP00000482809"
"SLC16A1","ENSP00000486000"
"GSTT2B","ENSP00000478389"
"AC023491.2","ENSP00000484693"
"RYBP","ENSP00000493835"
"UBE2Q2L","ENSP00000478066"
"AC007244.1","ENSP00000499149"
"LENG1","ENSP00000480516"
"NDUFA3","ENSP00000481545"
"AC012314.13","ENSP00000481708"
"GOLGA8J","ENSP00000480494"
"AL354822.1","ENSP00000480106"
"AC012314.16","ENSP00000484834"
"AC004556.3","ENSP00000478035"
"AC012314.3","ENSP00000479700"
"PADI6","ENSP00000485805"
"AC090958.4","ENSP00000487458"
"AC012314.6","ENSP00000483382"
"AC226007.1","ENSP00000483322"
"PADI3","ENSP00000486702"
"GP6","ENSP00000478025"
"GPX5","ENSP00000450365"
"KLF13","ENSP00000484904"
"INPP5D","ENSP00000486669"
"AC012314.18","ENSP00000477927"
"AP006285.2","ENSP00000483175"
"CR759815.2","ENSP00000447586"
"AL513523.13","ENSP00000471409"
"AC011476.6","ENSP00000478731"
"SCG5","ENSP00000482615"
"AC012314.7","ENSP00000482528"
"AL662852.3","ENSP00000481180"
"AC006449.4","ENSP00000479002"
"AC236040.1","ENSP00000476060"
"OBP2B","ENSP00000487521"
"FAN1","ENSP00000484956"
"AL627230.5","ENSP00000498767"
"WNT3","ENSP00000478327"
"AC145212.1","ENSP00000483280"
"AC006518.7","ENSP00000479778"
"AC240274.1","ENSP00000484923"
"CRHR1","ENSP00000484387"
"CR753845.2","ENSP00000469236"
"GPX6","ENSP00000486277"
"AC026369.8","ENSP00000480683"
"AC012314.17","ENSP00000481281"
"ZNF883","ENSP00000490059"
"ARHGAP11A","ENSP00000481011"
"AC011476.5","ENSP00000480002"
"AC233755.1","ENSP00000478289"
"AC012314.8","ENSP00000483982"
"BX072566.1","ENSP00000479139"
"TRPM1","ENSP00000480586"
"AC233755.2","ENSP00000481152"
"AC142525.5","ENSP00000485802"
"AL627230.1","ENSP00000498916"
"CR547123.1","ENSP00000477901"
"ZNF445","ENSP00000489139"
"AC012314.10","ENSP00000477941"
"AC244489.3","ENSP00000479584"
"AL929561.5","ENSP00000479324"
"AC011841.1","ENSP00000481644"
"AC012314.15","ENSP00000477787"
"AL662796.1","ENSP00000479287"
"AC133551.1","ENSP00000479378"
"AC136616.2","ENSP00000479675"
"AC243790.2","ENSP00000481534"
"AC213203.1","ENSP00000473163"
"MTMR10","ENSP00000484437"
"AC136352.4","ENSP00000478796"
"AC171558.3","ENSP00000484075"
"ACTL10","ENSP00000329647"
"AC012314.5","ENSP00000484205"
"AC007325.2","ENSP00000481127"
"GREM1","ENSP00000300177"
"MAFIP","ENSP00000478910"
"AP000349.1","ENSP00000469183"
"AL592183.1","ENSP00000479921"
"CR388407.1","ENSP00000480438"
"AC011476.11","ENSP00000480947"
"AC011476.10","ENSP00000479525"
"BX664615.2","ENSP00000499803"
"AL391987.1","ENSP00000498291"
